ID; NumComplains; hour_id; LCID; RACH_Setup_Completion_Success_Rate_AVG; Total_RRC_Connection_Setup_Success_Ratio_AVG; Total_RRC_Connection_Re_establishment_Success_Ratio_AVG; Radio_Bearer_Success_Ratio_AVG; ERAB_SetupSR_AVG; HO_Success_Ratio_intra_eNB_AVG; Average_CQI_AVG; Radio_Bearer_Drop_Ratio_AVG; Average_Physical_Resource_Block_Usage_UL_AVG; Average_Physical_Resource_Block_Usage_DL_AVG; Complete_RACH_Setup_Success_Rate_AVG; AGG1_blocked_distribution_rate_AVG; AGG2_blocked_distribution_rate_AVG; AGG4_blocked_distribution_rate_AVG; AGG8_blocked_distribution_rate_AVG; ECM_failure_ratio_due_to_Rejection_by_RRM_RAC_AVG; AGG_level_block_Rate_AVG; ERAB_Drop_Ratio_with_UE_Lost_cause_initiated_by_eNB_AVG
35;1;11/20/2015 13:00;63222111;0.957944;0.9982768;0.5078363;0.9989443;0.9995479;0.9689714;9.606213;0.002331227;1.646996;8.720172;0.80916549;0.171907297;0.185243175;0.18757627;0.335291844;0;8.89E-05;4.32E-05
36;1;11/20/2015 13:04;64012212;0.9919174;0.9979622;0.512144;0.9992594;0.9994903;0.9946025;9.063533;0.001586015;1.593036;10.18286;0.896653427;0.201226056;0.206213265;0.202507119;0.345635672;0;0.000102173;3.55E-05
37;1;11/20/2015 13:15;830F9113;0.997408;0.9976012;0.4938673;0.9990923;0.999514;0.9968234;9.204651;0.002031094;1.810148;12.37708;0.939732513;0.172472788;0.182128801;0.206705485;0.331741008;0;0.000182529;5.25E-05
38;1;11/20/2015 13:24;35738111;0.9941182;0.9996011;0.6664882;0.9992973;0.9994212;0.9864182;10.24774;0.002741711;0.8310083;2.023151;0.837314165;0.071367748;0.058952286;0.044553882;0.186470521;0;4.91E-06;6.29E-05
39;1;11/20/2015 13:37;111C4113;0.9711609;0.9971629;0.2170734;0.9990625;0.9986446;0.9854078;8.856178;0.00119525;2.74873;18.65994;0.756768749;0.165112465;0.216657414;0.246155051;0.372075229;0;0.000733744;0.000145892
40;1;11/20/2015 13:38;640H6113;0.9935565;0.9979766;0.632881;0.999226;0.9991186;0.9950539;9.580518;0.003145825;0.6212258;3.763395;0.877989034;0.171188641;0.13134042;0.139009183;0.279283296;0;2.57E-05;5.41E-05
41;1;11/20/2015 13:43;24879131;0.9853947;0.9985254;0.3030367;0.9991639;0.9994789;0.9831822;9.987923;0.001402973;2.806954;14.97912;0.813017011;0.233913289;0.219393193;0.234393206;0.304652294;0;0.000207119;0.000187546
42;1;11/20/2015 13:44;11438112;0.9915153;0.9989697;0.3994057;0.9994363;0.9998338;0.9773982;9.058816;0.001432857;1.908865;16.69605;0.84672219;0.124168592;0.181554905;0.233647584;0.375019648;0;0.000413902;6.32E-05
43;1;11/20/2015 13:46;11677131;0.9981392;0.9974774;0.1882389;0.9996347;0.9996982;0.9977175;10.85734;0.00122791;1.647364;10.02063;0.859657042;0.320533244;0.230414151;0.279493294;0.130903597;0;0.00040605;4.98E-05
44;1;11/20/2015 13:46;242C5113;0.9979932;0.998085;0.3678852;0.998877;0.9995082;0.9911569;9.860153;0.001758377;3.437764;24.27629;0.835568095;0.194908606;0.191623985;0.206121814;0.379334643;0;0.000576401;0.000133291
45;1;11/20/2015 13:50;33895111;0.9988317;0.9968991;0.4423223;0.9989678;0.9994723;0.9936607;10.13251;0.002283179;1.06181;9.18918;0.851902008;0.187191513;0.164136487;0.183153218;0.32518279;0;5.03E-05;0.000162983
46;1;11/20/2015 13:51;241N0231;0.9808174;0.9944552;0.2926198;0.997996;0.9989751;0.9924121;9.54426;0.002572739;2.928121;17.20391;0.830903704;0.20087117;0.21480318;0.236713769;0.346965688;0;0.000542185;9.82E-05
47;1;11/20/2015 13:52;830D2111;0.9973526;0.995608;0.6496196;0.9961627;0.9991394;0.9949685;9.950695;0.007406044;2.472634;17.85896;0.926583912;0.201177147;0.219460362;0.200584698;0.270213124;0;0.000174433;0.000260133
48;1;11/20/2015 13:54;22156112;0.97803;0.9976123;0.2238792;0.9992886;0.9994122;0.9903728;9.00205;0.001264414;1.678138;14.63349;0.764788418;0.178888374;0.196930736;0.256321352;0.363463967;0;0.000359308;0.000123055
49;1;11/20/2015 13:58;43317112;0.9979646;0.9968339;0.4236712;0.9991;0.9996151;0.9923506;8.504682;0.001690982;2.434695;15.10795;0.922124977;0.151890551;0.174103847;0.195321092;0.397452082;0;0.000321709;3.56E-05
50;1;11/20/2015 13:58;32033133;0.9941553;0.9991981;0.4179257;0.999324;0.999775;0.9887946;10.06456;0.001516356;1.990827;11.81277;0.845880336;0.24437401;0.208501331;0.206613128;0.290091419;0;9.84E-05;0.000104879
51;1;11/20/2015 14:00;32033133;0.9941553;0.9991981;0.4179257;0.999324;0.999775;0.9887946;10.06456;0.001516356;1.990827;11.81277;0.845880336;0.24437401;0.208501331;0.206613128;0.290091419;0;9.84E-05;0.000104879
52;1;11/20/2015 14:05;100S7113;0.9932003;0.9991252;0.4702189;0.9994996;0.9998661;0.9965289;10.54286;0.001721729;2.192114;10.3035;0.843208168;0.141411676;0.135273595;0.145300831;0.22600634;0;0.000124594;9.37E-05
53;1;11/20/2015 14:07;82531111;0.9776992;0.9975706;0.3516571;0.99925;0.9995428;0.9980783;8.368029;0.002062758;0.7913817;7.591344;0.868967925;0.112502415;0.170986246;0.242628269;0.366320218;0;0.000104577;4.57E-05
54;1;11/20/2015 14:08;407A9111;0.9942024;0.9979953;0.4117444;0.9989663;0.9997594;0.9976612;9.116067;0.001468776;3.311986;19.47755;0.892889685;0.263476502;0.228330326;0.215056544;0.277380189;0;0.000600672;7.34E-05
55;1;11/20/2015 14:14;231D9231;0.9850627;0.996838;0.2881138;0.9982669;0.9994562;0.9749373;9.142395;0.003349468;1.445906;8.776006;0.796661825;0.146955765;0.150607652;0.17020936;0.356518575;0;0.000124235;6.56E-05
56;1;11/20/2015 14:16;500D1233;0.9710224;0.9986677;0.6429216;0.9994487;0.9997495;0.9972272;10.62148;0.001712794;1.311776;7.272416;0.899847958;0.347759134;0.194588689;0.219879613;0.147016185;0;0.000142882;3.98E-05
57;1;11/20/2015 14:17;540T4213;0.9907482;0.9980907;0.5747722;0.9980834;0.9933151;0.993286;9.153877;0.004358312;1.623422;10.76794;0.921331008;0.187171527;0.208095313;0.23078902;0.325391503;0;0.000113497;4.20E-05
58;1;11/20/2015 14:24;43323111;0.9967405;0.9958693;0.4175761;0.9986538;0.9993388;0.9927996;8.803631;0.002415059;2.342045;15.93114;0.87493078;0.15449571;0.192539556;0.213429183;0.359703562;0;0.000227068;4.77E-05
59;1;11/20/2015 14:24;26909111;0.9964882;0.9976869;0.5249946;0.9988133;0.9995992;0.97465;9.426823;0.002585951;1.563926;9.483411;0.918409855;0.159893716;0.169880523;0.194558548;0.31226859;0;7.10E-05;5.93E-05
60;1;11/20/2015 14:28;20512111;0.9908731;0.9992505;0.4705892;0.9992898;0.9990726;0.9925761;10.39232;0.001545608;1.715992;11.07071;0.84919842;0.245576846;0.203133221;0.172319737;0.26412423;0;5.52E-05;6.77E-05
